kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,geimpftVollst,geimpftUnvollst,geimpftKA,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,geimpftVollstKumuliert,geimpftUnvollstKumuliert,geimpftKAKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,geimpftVollst7Tage,geimpftUnvollst7Tage,geimpftKA7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5374,2021-10-25,25.10.2021,47,30,7,0,0,0,0,0,20,13,34,0,,17580,17803,1275,271,274,274,0,16700,840,513,2486,14581,254,344,4,0,2,11,90,157,7,6470.395548,6552.471669,0.000000,469.269302,99.742730,1.539066,1.558589,93.485806,126.610698,4.048598,0.000000,0.000000,0.787402,17533,86.860828,271,0,2,0,0,0,0,0,0,0,749,699,204,65,105,45,649,566,154,40,30,5
5374,2021-10-26,26.10.2021,99,49,10,0,0,0,0,4,18,33,63,3,,17679,17862,1279,271,274,274,0,16700,880,546,2549,14584,316,362,3,0,1,11,111,195,10,6506.832929,6574.186876,0.000000,470.741519,99.742730,1.533983,1.549861,116.305176,133.235676,4.048598,0.000000,0.000000,0.316456,17580,93.485806,271,5,2,1,0,0,0,0,0,0,754,701,205,65,105,45,649,566,154,40,30,6
5374,2021-10-27,27.10.2021,68,55,10,0,0,0,0,3,15,21,41,6,,17747,17927,1282,271,274,274,0,16700,930,567,2590,14590,346,379,2,0,1,13,118,215,13,6531.860625,6598.110409,0.000000,471.845682,99.742730,1.528421,1.543923,127.346807,139.492600,4.784707,0.000000,0.000000,0.289017,17679,116.305176,271,1,4,0,0,0,0,1,1,1,755,705,205,65,105,45,650,567,155,40,30,5
5374,2021-10-28,28.10.2021,75,31,12,0,0,0,0,1,16,22,50,3,,17822,17970,1283,271,274,274,0,16700,950,589,2640,14593,374,381,1,0,0,10,120,239,15,6559.464702,6613.936746,0.000000,472.213737,99.742730,1.524763,1.537426,137.652328,140.228709,3.680544,0.000000,0.000000,0.000000,17747,127.346807,271,3,2,0,0,0,0,1,0,0,758,707,205,65,105,45,651,567,155,40,40,5
5374,2021-10-29,29.10.2021,81,43,8,1,0,0,0,3,8,34,41,6,,17903,18021,1286,272,274,274,0,16800,1000,623,2681,14599,397,374,1,0,0,13,132,245,20,6589.277104,6632.707518,0.000000,473.317900,100.110784,1.520448,1.530470,146.117579,137.652328,4.784707,0.000000,0.000000,0.000000,17822,137.652328,271,1,2,0,1,0,0,0,0,0,759,709,205,66,105,45,651,567,155,40,40,5
5374,2021-10-30,30.10.2021,37,58,7,0,0,0,0,5,10,6,25,6,,17940,18086,1291,272,274,274,0,16800,1100,629,2706,14605,409,378,1,0,0,16,130,255,24,6602.895116,6656.631051,0.000000,475.158171,100.110784,1.514984,1.527313,150.534231,139.124546,5.888870,0.000000,0.000000,0.000000,17903,146.117579,272,2,1,0,0,0,0,0,1,0,761,710,205,66,105,45,651,568,155,40,40,5
5374,2021-10-31,31.10.2021,4,32,2,1,0,0,0,2,16,1,2,1,,17944,18120,1293,273,274,274,0,16800,1100,630,2708,14606,411,354,2,0,0,18,130,256,25,6604.367333,6669.144899,0.000000,475.894280,100.478839,1.512141,1.526973,151.270340,130.291241,6.624978,0.000000,0.000000,0.000000,17940,150.534231,272,0,2,1,0,0,0,1,1,0,761,712,206,66,105,45,652,569,155,40,40,6
5374,2021-11-01,01.11.2021,17,35,1,0,0,0,0,4,16,8,7,2,,17961,18156,1297,273,274,274,0,16800,1100,638,2715,14608,381,353,2,0,0,22,125,229,27,6610.624257,6682.394856,0.000000,477.366497,100.478839,1.509143,1.525528,140.228709,129.923187,8.097196,0.000000,0.000000,0.000000,17944,151.270340,273,0,2,0,0,0,0,0,0,1,761,714,206,66,105,45,652,569,156,40,40,5
5374,2021-11-02,02.11.2021,37,34,3,0,0,0,0,3,22,14,21,2,,17998,18193,1300,273,274,274,0,16800,1100,652,2736,14610,319,331,2,0,0,21,106,187,26,6624.242268,6696.012867,0.000000,478.470661,100.478839,1.506074,1.522391,117.409339,121.825991,7.729141,0.000000,0.000000,0.000000,17961,140.228709,273,4,0,0,0,0,0,3,1,0,765,714,206,66,105,45,655,570,156,40,40,5
5374,2021-11-03,03.11.2021,117,19,16,1,1,1,0,4,26,43,62,12,,18115,18228,1304,274,275,275,0,16800,1100,695,2798,14622,368,301,3,1,1,22,128,208,32,6667.304628,6708.894770,0.854701,479.942878,100.846893,1.508668,1.518079,135.444002,110.784361,8.097196,0.000000,0.332226,0.271739,17998,117.409339,273,0,2,0,0,0,0,1,0,0,765,716,206,66,105,45,656,570,156,40,40,5
